"","site","loc","year","study","germplasmName","trait","value.x","value.y"
"1","Blk_22","Blk","22","YT_Blk_22","07-19334","Grain.test.weight...lbs.bu",59.4912633242494,2.21315985391759
"2","Blk_22","Blk","22","YT_Blk_22","07-19334","Grain.yield...bu.ac",86.3747273639908,0.0511840549980417
"3","Blk_22","Blk","22","YT_Blk_22","07-19334","Heading.time...Julian.date..JD..",126.014412200558,8.28527434639318
"4","Blk_22","Blk","22","YT_Blk_22","07-19334","Plant.height.inches",NA,0
"9","Blk_22","Blk","22","YT_Blk_22","16-8048","Grain.test.weight...lbs.bu",60.5272471649308,2.15324691569577
"10","Blk_22","Blk","22","YT_Blk_22","16-8048","Grain.yield...bu.ac",103.27726113427,0.0274708154549859
"11","Blk_22","Blk","22","YT_Blk_22","16-8048","Heading.time...Julian.date..JD..",122.958479011897,8.18897095951237
"12","Blk_22","Blk","22","YT_Blk_22","16-8048","Plant.height.inches",NA,0
"13","Blk_22","Blk","22","YT_Blk_22","17-8930","Grain.test.weight...lbs.bu",56.948609009364,2.1438465772368
"14","Blk_22","Blk","22","YT_Blk_22","17-8930","Grain.yield...bu.ac",85.1592144403887,0.0530852964003272
"15","Blk_22","Blk","22","YT_Blk_22","17-8930","Heading.time...Julian.date..JD..",115.953443799315,8.18465580731794
"16","Blk_22","Blk","22","YT_Blk_22","17-8930","Plant.height.inches",NA,0
"17","Blk_22","Blk","22","YT_Blk_22","18-12001","Grain.test.weight...lbs.bu",57.7452604009842,2.19801840256734
"18","Blk_22","Blk","22","YT_Blk_22","18-12001","Grain.yield...bu.ac",75.4515337739533,0.0508405596340005
"19","Blk_22","Blk","22","YT_Blk_22","18-12001","Heading.time...Julian.date..JD..",120.432773534547,8.27019042108115
"20","Blk_22","Blk","22","YT_Blk_22","18-12001","Plant.height.inches",NA,0
"21","Blk_22","Blk","22","YT_Blk_22","18-12756","Grain.test.weight...lbs.bu",58.2185869540343,2.47046610958561
"22","Blk_22","Blk","22","YT_Blk_22","18-12756","Grain.yield...bu.ac",80.8103107091217,0.0588664841198359
"23","Blk_22","Blk","22","YT_Blk_22","18-12756","Heading.time...Julian.date..JD..",119.522015121011,8.73105514908699
"24","Blk_22","Blk","22","YT_Blk_22","18-12756","Plant.height.inches",NA,0
"25","Blk_22","Blk","22","YT_Blk_22","18-12809","Grain.test.weight...lbs.bu",57.6541021473072,2.11177203636722
"26","Blk_22","Blk","22","YT_Blk_22","18-12809","Grain.yield...bu.ac",80.8895758218531,0.0478587449074115
"27","Blk_22","Blk","22","YT_Blk_22","18-12809","Heading.time...Julian.date..JD..",121.02823035521,8.05812788444643
"28","Blk_22","Blk","22","YT_Blk_22","18-12809","Plant.height.inches",NA,0
"29","Blk_22","Blk","22","YT_Blk_22","18-13748","Grain.test.weight...lbs.bu",60.6639979999551,2.12181083136851
"30","Blk_22","Blk","22","YT_Blk_22","18-13748","Grain.yield...bu.ac",80.4262235993601,0.047043401845179
"31","Blk_22","Blk","22","YT_Blk_22","18-13748","Heading.time...Julian.date..JD..",121.922898173397,8.06117518192861
"32","Blk_22","Blk","22","YT_Blk_22","18-13748","Plant.height.inches",NA,0
"33","Blk_22","Blk","22","YT_Blk_22","18-13756","Grain.test.weight...lbs.bu",59.8749852658899,2.1529996380206
"34","Blk_22","Blk","22","YT_Blk_22","18-13756","Grain.yield...bu.ac",81.7029137809096,0.0521842963197102
"35","Blk_22","Blk","22","YT_Blk_22","18-13756","Heading.time...Julian.date..JD..",122.507224571407,8.14341252078462
"36","Blk_22","Blk","22","YT_Blk_22","18-13756","Plant.height.inches",NA,0
